ESTAR: Stopping Powers and Range Tables for Electrons

POLYMETHYL METHACRALATE (LUCITE, PERSPEX, PLEXIGLASS)

Kinetic   Collision Radiative Total     D. Effect
Energy    Stp. Pow. Stp. Pow. Stp. Pow. Parameter
MeV       MeV cm2/g MeV cm2/g MeV cm2/g

1.564E+00 1.759E+00 1.772E-02 1.777E+00 7.269E-01
1.570E+00 1.759E+00 1.780E-02 1.777E+00 7.304E-01
1.576E+00 1.759E+00 1.787E-02 1.777E+00 7.339E-01
1.582E+00 1.759E+00 1.795E-02 1.777E+00 7.375E-01
1.588E+00 1.759E+00 1.802E-02 1.777E+00 7.410E-01
1.594E+00 1.759E+00 1.810E-02 1.777E+00 7.445E-01
1.600E+00 1.759E+00 1.818E-02 1.777E+00 7.480E-01
1.606E+00 1.759E+00 1.825E-02 1.777E+00 7.515E-01
1.612E+00 1.759E+00 1.833E-02 1.777E+00 7.550E-01
1.618E+00 1.759E+00 1.840E-02 1.777E+00 7.585E-01
1.624E+00 1.759E+00 1.848E-02 1.777E+00 7.620E-01
1.630E+00 1.759E+00 1.855E-02 1.777E+00 7.655E-01
1.636E+00 1.759E+00 1.863E-02 1.777E+00 7.690E-01
1.642E+00 1.759E+00 1.871E-02 1.777E+00 7.724E-01
1.648E+00 1.759E+00 1.878E-02 1.777E+00 7.759E-01
1.654E+00 1.759E+00 1.886E-02 1.777E+00 7.794E-01
1.660E+00 1.759E+00 1.893E-02 1.777E+00 7.828E-01
1.666E+00 1.759E+00 1.901E-02 1.778E+00 7.863E-01
1.672E+00 1.759E+00 1.909E-02 1.778E+00 7.897E-01
1.678E+00 1.759E+00 1.916E-02 1.778E+00 7.931E-01
1.684E+00 1.759E+00 1.924E-02 1.778E+00 7.966E-01
1.690E+00 1.759E+00 1.932E-02 1.778E+00 8.000E-01
1.696E+00 1.759E+00 1.939E-02 1.778E+00 8.034E-01
1.702E+00 1.759E+00 1.947E-02 1.778E+00 8.068E-01
1.708E+00 1.759E+00 1.955E-02 1.778E+00 8.102E-01
1.714E+00 1.759E+00 1.962E-02 1.778E+00 8.136E-01
1.720E+00 1.759E+00 1.970E-02 1.778E+00 8.170E-01
1.726E+00 1.759E+00 1.978E-02 1.779E+00 8.204E-01
1.732E+00 1.759E+00 1.986E-02 1.779E+00 8.238E-01
