E(keV),dNtot/dE b-,unc.
422,8.92E-04,9.35E-06
423,8.82E-04,9.39E-06
424,8.72E-04,9.44E-06
425,8.61E-04,9.49E-06
426,8.51E-04,9.53E-06
427,8.41E-04,9.58E-06
428,8.30E-04,9.62E-06
429,8.20E-04,9.66E-06
430,8.10E-04,9.70E-06
431,7.99E-04,9.74E-06
432,7.89E-04,9.78E-06
433,7.79E-04,9.82E-06
434,7.69E-04,9.85E-06
435,7.58E-04,9.89E-06
436,7.48E-04,9.92E-06
437,7.38E-04,9.96E-06
438,7.28E-04,9.99E-06
439,7.17E-04,1.00E-05
440,7.07E-04,1.00E-05
441,6.97E-04,1.01E-05
442,6.87E-04,1.01E-05
443,6.77E-04,1.01E-05
444,6.67E-04,1.01E-05
445,6.57E-04,1.02E-05
446,6.47E-04,1.02E-05
447,6.37E-04,1.02E-05
448,6.27E-04,1.02E-05
449,6.17E-04,1.02E-05
450,6.07E-04,1.03E-05
451,5.97E-04,1.03E-05
452,5.87E-04,1.03E-05
453,5.77E-04,1.03E-05
454,5.67E-04,1.03E-05
455,5.57E-04,1.03E-05
456,5.48E-04,1.03E-05
457,5.38E-04,1.03E-05
458,5.28E-04,1.03E-05
459,5.19E-04,1.03E-05
460,5.09E-04,1.03E-05
461,4.99E-04,1.03E-05
462,4.90E-04,1.03E-05
463,4.80E-04,1.03E-05
464,4.71E-04,1.03E-05
465,4.62E-04,1.03E-05
466,4.52E-04,1.02E-05
467,4.43E-04,1.02E-05
468,4.34E-04,1.02E-05
469,4.25E-04,1.02E-05
470,4.15E-04,1.02E-05
471,4.06E-04,1.01E-05
472,3.97E-04,1.01E-05
473,3.88E-04,1.01E-05
474,3.79E-04,1.00E-05
475,3.71E-04,1.00E-05
476,3.62E-04,9.97E-06
477,3.53E-04,9.94E-06
478,3.44E-04,9.90E-06
479,3.36E-04,9.86E-06
480,3.27E-04,9.82E-06
481,3.19E-04,9.77E-06
482,3.10E-04,9.72E-06
483,3.02E-04,9.67E-06
484,2.94E-04,9.62E-06
485,2.86E-04,9.57E-06
486,2.78E-04,9.51E-06
487,2.70E-04,9.45E-06
488,2.62E-04,9.39E-06
489,2.54E-04,9.33E-06
490,2.46E-04,9.26E-06
491,2.38E-04,9.19E-06
492,2.31E-04,9.12E-06
493,2.23E-04,9.04E-06
494,2.16E-04,8.96E-06
495,2.09E-04,8.88E-06
496,2.01E-04,8.80E-06
497,1.94E-04,8.71E-06
498,1.87E-04,8.62E-06
499,1.80E-04,8.53E-06
500,1.73E-04,8.43E-06
501,1.67E-04,8.33E-06
502,1.60E-04,8.23E-06
503,1.53E-04,8.13E-06
504,1.47E-04,8.02E-06
505,1.41E-04,7.91E-06
506,1.34E-04,7.79E-06
507,1.28E-04,7.68E-06
508,1.22E-04,7.56E-06
509,1.16E-04,7.43E-06
510,1.11E-04,7.30E-06
511,1.05E-04,7.17E-06
512,9.96E-05,7.04E-06
513,9.42E-05,6.90E-06
514,8.90E-05,6.76E-06
515,8.38E-05,6.62E-06
516,7.88E-05,6.47E-06
517,7.40E-05,6.32E-06
518,6.92E-05,6.16E-06
519,6.46E-05,6.00E-06
520,6.02E-05,5.84E-06
521,5.59E-05,5.67E-06
522,5.17E-05,5.50E-06
523,4.77E-05,5.33E-06
524,4.38E-05,5.15E-06
525,4.00E-05,4.97E-06
526,3.65E-05,4.78E-06
527,3.30E-05,4.59E-06
528,2.97E-05,4.40E-06
529,2.66E-05,4.20E-06
530,2.37E-05,4.00E-06
531,2.09E-05,3.79E-06
532,1.82E-05,3.58E-06
533,1.58E-05,3.37E-06
534,1.35E-05,3.15E-06
535,1.14E-05,2.92E-06
536,9.41E-06,2.70E-06
537,7.64E-06,2.46E-06
538,6.05E-06,2.23E-06
539,4.63E-06,1.99E-06
540,3.40E-06,1.74E-06
541,2.36E-06,1.49E-06
542,1.50E-06,1.23E-06
543,8.32E-07,9.74E-07
544,3.59E-07,7.10E-07
545,8.08E-08,4.40E-07
545.9,0.00E+00,0.00E+00
