# distance (m), g, g_p, g_m, y (m^2), y_p (m^2), y_m (m^2)
2.024048096192384572e-01,1.931715362950501549e-04,1.927511412215027111e-04,1.935937691612688168e-04,7.913794891369135834e-06,7.896572269189877695e-06,7.931092803699996087e-06
2.044088176352705233e-01,1.893973835847375981e-04,1.889852021188295609e-04,1.898113669368353706e-04,7.913584197716513731e-06,7.896362034065334650e-06,7.930881649514799926e-06
2.064128256513025894e-01,1.857323261498395066e-04,1.853281208698616303e-04,1.861382984474347605e-04,7.913358774156115870e-06,7.896137101089401253e-06,7.930655733225309471e-06
2.084168336673346555e-01,1.821722023005808045e-04,1.817757448418200444e-04,1.825703929067022723e-04,7.913118983791557826e-06,7.895897832575474019e-06,7.930415418728806781e-06
2.104208416833667217e-01,1.787130467868874558e-04,1.783241174141194925e-04,1.791036763973506013e-04,7.912865172531171348e-06,7.895644573679090942e-06,7.930161052689708930e-06
2.124248496993987878e-01,1.753510797834254942e-04,1.749694669873788589e-04,1.757343608321324110e-04,7.912597670075897195e-06,7.895377653383676251e-06,7.929892965529614001e-06
2.144288577154308539e-01,1.720826965879803283e-04,1.717081967042197697e-04,1.724588336297026565e-04,7.912316790839340786e-06,7.895097385418580130e-06,7.929611472349370986e-06
2.164328657314629201e-01,1.689044579809202717e-04,1.685368748297104641e-04,1.692736480530097236e-04,7.912022834805699693e-06,7.894804069115154589e-06,7.929316873788880906e-06
2.184368737474949584e-01,1.658130811977435765e-04,1.654522257435591683e-04,1.661755141621102001e-04,7.911716088330533338e-06,7.894497990205766416e-06,7.929009456829614792e-06
2.204408817635270246e-01,1.628054314705906444e-04,1.624511215000344329e-04,1.631612903371930541e-04,7.911396824888840471e-06,7.894179421570258521e-06,7.928689495544336097e-06
2.224448897795590907e-01,1.598785140981429250e-04,1.595305739151219818e-04,1.602279753311443354e-04,7.911065305774750737e-06,7.893848623934110061e-06,7.928357251798301677e-06
2.244488977955911568e-01,1.570294670065435882e-04,1.566877271436349086e-04,1.573727008142081489e-04,7.910721780756230318e-06,7.893505846521724152e-06,7.928012975905424331e-06
2.264529058116232230e-01,1.542555537669297518e-04,1.539198507119418917e-04,1.545927243762563520e-04,7.910366488688501505e-06,7.893151327668505743e-06,7.927656907243010352e-06
2.284569138276552891e-01,1.515541570378453530e-04,1.512243329746509315e-04,1.518854229548679473e-04,7.909999658089074726e-06,7.892785295394650195e-06,7.927289274828067193e-06
2.304609218436873552e-01,1.489227724032615848e-04,1.485986749660401477e-04,1.492482866598807199e-04,7.909621507677215365e-06,7.892407967943424258e-06,7.926910297857929020e-06
2.324649298597194214e-01,1.463590025791828653e-04,1.460404846192717187e-04,1.466789129673340777e-04,7.909232246880471153e-06,7.892019554286609255e-06,7.926520186217914050e-06
2.344689378757514875e-01,1.438605519638697604e-04,1.435474713284750552e-04,1.441750012577798447e-04,7.908832076310589492e-06,7.891620254599357928e-06,7.926119140958261703e-06
2.364729458917835536e-01,1.414252215085975246e-04,1.411174408306680415e-04,1.417343476758294192e-04,7.908421188210937197e-06,7.891210260706670577e-06,7.925707354742545061e-06
2.384769539078156197e-01,1.390509038875960290e-04,1.387482903862084674e-04,1.393548402895360941e-04,7.907999766877430131e-06,7.890789756503379412e-06,7.925285012269510222e-06
2.404809619238476859e-01,1.367355789474052053e-04,1.364380042380528718e-04,1.370344545298038939e-04,7.907567989054802322e-06,7.890358918349570636e-06,7.924852290670221248e-06
2.424849699398797520e-01,1.344773094173339924e-04,1.341846493315509319e-04,1.347712488914702331e-04,7.907126024309889996e-06,7.889917915443058714e-06,7.924409359882150571e-06
2.444889779559117904e-01,1.322742368640490870e-04,1.319863712778378804e-04,1.325633608790524555e-04,7.906674035383416218e-06,7.889466910170395128e-06,7.923956383001739520e-06
2.464929859719438565e-01,1.301245778745518293e-04,1.298413905451186302e-04,1.304090031813814323e-04,7.906212178521748287e-06,7.889006058437914273e-06,7.923493516616877383e-06
2.484969939879759226e-01,1.280266204529324910e-04,1.277479988632634455e-04,1.283064600604798798e-04,7.905740603789903514e-06,7.888535509984049741e-06,7.923020911120591590e-06
2.505010020040079888e-01,1.259787206173361537e-04,1.257045558281798161e-04,1.262540839410898792e-04,7.905259455367155249e-06,7.888055408674298305e-06,7.922538711007300879e-06
2.525050100200400549e-01,1.239792991845274400e-04,1.237094856933750357e-04,1.242502921882094572e-04,7.904768871826045538e-06,7.887565892779634563e-06,7.922047055152441194e-06
2.545090180360721210e-01,1.220268387303403480e-04,1.217612743370207807e-04,1.222935640608984560e-04,7.904268986396276541e-06,7.887067095239809440e-06,7.921546077076922928e-06
2.565130260521041872e-01,1.201198807151012912e-04,1.198584663936320922e-04,1.203824378314184327e-04,7.903759927214024515e-06,7.886559143912144087e-06,7.921035905197003945e-06
2.585170340681362533e-01,1.182570227638805730e-04,1.179996625402377668e-04,1.185155080595393171e-04,7.903241817557906252e-06,7.886042161806966082e-06,7.920516663060764244e-06
2.605210420841683194e-01,1.164369160921163579e-04,1.161835169276068618e-04,1.166914230125362656e-04,7.902714776072248499e-06,7.885516267310394340e-06,7.919988469571858175e-06
2.625250501002003856e-01,1.146582630678022550e-04,1.144087347477417538e-04,1.149088822220487971e-04,7.902178916978463326e-06,7.884981574395268951e-06,7.919451439201365855e-06
2.645290581162324517e-01,1.129198149020253154e-04,1.126740699294420238e-04,1.131666341695706916e-04,7.901634350275254539e-06,7.884438192820901879e-06,7.918905682188423083e-06
2.665330661322645178e-01,1.112203694601932697e-04,1.109783229542951632e-04,1.114634740928931579e-04,7.901081181928420812e-06,7.883886228322485387e-06,7.918351304730451390e-06
2.685370741482965840e-01,1.095587691867977892e-04,1.093203387859560254e-04,1.097982419063317662e-04,7.900519514050711285e-06,7.883325782790535964e-06,7.917788409163389706e-06
2.705410821643286501e-01,1.079338991370359420e-04,1.076990049060521948e-04,1.081698202280458574e-04,7.899949445072429848e-06,7.882756954441151343e-06,7.917217094132696762e-06
